City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Atuona,-9.8,-139.0333,81.1,scattered clouds,80,49,16.55,PF
1,Tasiilaq,65.6145,-37.6368,30.2,overcast clouds,93,90,1.14,GL
2,Mahebourg,-20.4081,57.7,78.8,light rain,89,40,3.44,MU
3,Norman Wells,65.282,-126.8329,5.0,snow,72,90,23.02,CA
4,Rikitea,-23.1203,-134.9692,74.55,moderate rain,85,100,12.5,PF
5,Puebloviejo,10.9938,-74.2844,84.99,overcast clouds,68,100,11.99,CO
6,Albany,42.6001,-73.9662,36.0,light snow,68,99,1.01,US
7,Brownwood,31.7093,-98.9912,66.2,clear sky,20,1,9.22,US
8,Ushuaia,-54.8,-68.3,51.8,few clouds,58,20,13.8,AR
9,Buraydah,26.326,43.975,80.6,broken clouds,41,75,12.66,SA
10,Ternovskaya,45.8542,40.4086,42.78,few clouds,87,23,6.44,RU
11,Hobyo,5.3505,48.5268,80.78,clear sky,73,8,8.57,SO
12,Vaini,-21.2,-175.2,84.2,broken clouds,79,75,9.22,TO
13,Bambous Virieux,-20.3428,57.7575,78.8,light rain,89,40,3.44,MU
14,Riberalta,-10.9833,-66.1,78.8,broken clouds,83,75,1.97,BO
15,New Norfolk,-42.7826,147.0587,61.0,light rain,69,100,1.59,AU
16,Ternate,0.8,127.4,81.46,overcast clouds,80,99,5.91,ID
17,Khatanga,71.9667,102.5,-38.63,scattered clouds,100,35,3.91,RU
18,Phuket,8.0,98.25,84.99,scattered clouds,74,40,18.41,TH
19,Cayenne,4.9333,-52.3333,81.0,clear sky,74,0,8.05,GF
20,Gebre Guracha,9.8,38.4,58.21,few clouds,24,17,3.62,ET
21,Chokurdakh,70.6333,147.9167,-2.52,overcast clouds,94,88,3.56,RU
22,Kapaa,22.0752,-159.319,80.6,light rain,65,40,14.97,US
23,Mataura,-46.1927,168.8643,57.0,overcast clouds,63,97,15.99,NZ
24,Poum,-20.2333,164.0167,76.78,overcast clouds,77,100,14.43,NC
25,Torva,58.0028,25.935,35.6,broken clouds,75,74,10.36,EE
26,El Prat De Llobregat,41.3278,2.0947,60.01,clear sky,54,0,3.44,ES
27,Upernavik,72.7868,-56.1549,26.67,overcast clouds,74,100,7.07,GL
28,Butaritari,3.0707,172.7902,82.18,light rain,79,59,13.8,KI
29,Rivadavia,-33.1905,-68.4608,77.0,few clouds,50,20,16.35,AR
30,Retz,48.7494,15.9624,55.99,broken clouds,64,60,13.35,AT
31,Alanya,36.5438,31.9998,51.8,light rain,87,75,3.44,TR
32,Victoria,22.2855,114.1577,78.01,overcast clouds,87,96,1.01,HK
33,Ahipara,-35.1667,173.1667,67.95,scattered clouds,60,46,13.44,NZ
34,Saskylakh,71.9167,114.0833,-36.08,overcast clouds,100,100,4.47,RU
