City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,0,Atuona,PF,81.1,scattered clouds,-9.8,-139.0333,Villa Enata
1,2,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
2,5,Puebloviejo,CO,84.99,overcast clouds,10.9938,-74.2844,The Journey Hostel
3,9,Buraydah,SA,80.6,broken clouds,26.326,43.975,فندق راحة السلام
4,11,Hobyo,SO,80.78,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
5,12,Vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
6,13,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
7,14,Riberalta,BO,78.8,broken clouds,-10.9833,-66.1,Hotel Colonial
8,16,Ternate,ID,81.46,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
9,18,Phuket,TH,84.99,scattered clouds,8.0,98.25,The Surin Phuket
10,19,Cayenne,GF,81.0,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
11,22,Kapaa,US,80.6,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
12,24,Poum,NC,76.78,overcast clouds,-20.2333,164.0167,Gîte kajeon
13,28,Butaritari,KI,82.18,light rain,3.0707,172.7902,Isles Sunset Lodge
14,29,Rivadavia,AR,77.0,few clouds,-33.1905,-68.4608,Posada Del Fin Del Mundo
15,32,Victoria,HK,78.01,overcast clouds,22.2855,114.1577,Mini Hotel Central
16,35,Pahrump,US,80.01,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
17,36,Banjar,ID,78.8,scattered clouds,-8.19,114.9675,The Hamsa Resort
18,37,Saint George,US,77.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
19,38,General Roca,AR,78.8,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
20,40,Saint-Philippe,RE,77.0,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
21,42,Hilo,US,80.6,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
22,48,Kavieng,PG,82.36,light rain,-2.5744,150.7967,Nusa Island Retreat
23,52,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
24,58,Paulo Afonso,BR,83.05,few clouds,-9.4061,-38.2147,Pousada Ilha Bela
25,64,Isangel,VU,82.99,moderate rain,-19.55,169.2667,Volcano Sea View Tree House
26,66,Alyangula,AU,83.07,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
27,71,Namibe,AO,75.69,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
28,72,Kahului,US,80.6,few clouds,20.8947,-156.47,Maui Seaside Hotel
29,73,Palu,ID,76.91,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
30,76,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
31,82,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,91,Soyo,AO,80.2,overcast clouds,-6.1349,12.3689,Hotel Mpampa
34,98,Arraial Do Cabo,BR,76.5,few clouds,-22.9661,-42.0278,Pousada Porto Praia
35,99,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
36,104,Geraldton,AU,75.2,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
37,109,Kango,GA,75.04,overcast clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
38,112,Lazaro Cardenas,MX,85.42,clear sky,17.9583,-102.2,Hotel Quinta Antigua
39,116,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
40,117,Carutapera,BR,76.64,moderate rain,-1.195,-46.02,Lidera
41,130,Cabo San Lucas,MX,86.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
42,132,Grand Gaube,MU,75.99,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
43,133,Karratha,AU,81.57,clear sky,-20.7377,116.8463,ibis Styles Karratha
44,134,Georgetown,MY,82.99,few clouds,5.4112,100.3354,Cititel Penang
46,141,Alofi,NU,84.2,scattered clouds,-19.0595,-169.9187,Taloa Heights
47,144,Kumo,NG,82.02,scattered clouds,10.0447,11.2122,Ajegunle Lodge(corpers Lodge)
48,148,San Teodoro,PH,78.01,overcast clouds,13.4375,121.0193,"EdRay's Guesthouse, Restaurant and Bar"
49,150,Pundaguitan,PH,81.36,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
50,152,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
51,153,Vanimo,PG,79.38,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
52,157,Paraiso,CR,75.0,broken clouds,9.8383,-83.8656,Rinconcito Verde
53,158,San Jose,US,88.0,clear sky,37.3394,-121.895,The Westin San Jose
55,166,Sabang,ID,81.75,light rain,5.8933,95.3214,Hotel Citra
56,172,Bengkulu,ID,75.69,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
57,179,Pacific Grove,US,82.4,clear sky,36.6177,-121.9166,Lovers Point Inn
58,184,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
59,185,Itarema,BR,78.21,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
60,189,Hirara,JP,75.2,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
61,190,Manadhoo,MV,83.84,overcast clouds,5.7667,73.3833,Vevu Guesthouse
62,199,Sinnamary,GF,77.45,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
63,200,Gilbues,BR,78.87,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
