City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Klaksvik,FO,2021-03-28 13:36:23,62.2266,-6.589,41.0,81,40,18.41
1,Kaeo,NZ,2021-03-28 13:36:23,-35.1,173.7833,66.99,96,100,5.99
2,Carnarvon,AU,2021-03-28 13:36:24,-24.8667,113.6333,78.8,89,1,6.91
3,Punta Arenas,CL,2021-03-28 13:36:02,-53.15,-70.9167,46.4,57,20,13.8
4,Mar Del Plata,AR,2021-03-28 13:36:24,-38.0023,-57.5575,66.2,82,75,12.66
5,Vieux-Habitants,GP,2021-03-28 13:36:24,16.0589,-61.7659,82.4,65,75,13.8
6,Mahon,ES,2021-03-28 13:31:58,39.8885,4.2658,62.6,51,0,13.8
7,Chuy,UY,2021-03-28 13:36:24,-33.6971,-53.4616,70.86,82,59,7.67
8,New Norfolk,AU,2021-03-28 13:36:25,-42.7826,147.0587,54.0,62,41,5.01
9,Rikitea,PF,2021-03-28 13:36:25,-23.1203,-134.9692,78.06,75,8,16.08
10,Santa Rosa,PH,2021-03-28 13:36:25,14.3122,121.1114,84.2,74,20,4.61
11,Monduli,TZ,2021-03-28 13:36:25,-3.3,36.45,82.4,51,40,5.75
12,Abha,SA,2021-03-28 13:36:26,18.2164,42.5053,77.0,33,0,17.27
13,Cherskiy,RU,2021-03-28 13:36:26,68.75,161.3,-7.87,90,100,2.84
14,Namibe,AO,2021-03-28 13:36:17,-15.1961,12.1522,84.2,65,40,11.5
15,Yulara,AU,2021-03-28 13:36:26,-25.2406,130.9889,80.6,41,1,10.36
16,Bengkulu,ID,2021-03-28 13:36:26,-3.8004,102.2655,79.88,85,96,4.7
17,La Ronge,CA,2021-03-28 13:36:27,55.1001,-105.2842,21.2,93,100,13.8
18,Vanimo,PG,2021-03-28 13:36:27,-2.6741,141.3028,76.93,89,85,2.91
19,Cape Town,ZA,2021-03-28 13:36:27,-33.9258,18.4232,78.8,36,0,11.5
20,Cotonou,BJ,2021-03-28 13:36:27,6.3654,2.4183,89.6,70,40,10.36
21,Ushuaia,AR,2021-03-28 13:31:35,-54.8,-68.3,44.6,65,40,29.93
22,Bagdarin,RU,2021-03-28 13:36:28,54.4333,113.6,9.21,90,6,4.59
23,Uvinza,TZ,2021-03-28 13:36:28,-5.1036,30.3911,79.21,67,86,0.83
24,Sao Filipe,CV,2021-03-28 13:36:28,14.8961,-24.4956,70.5,73,1,12.1
25,Kaitangata,NZ,2021-03-28 13:36:29,-46.2817,169.8464,54.1,96,100,1.23
26,Xining,CN,2021-03-28 13:36:29,36.6167,101.7667,47.46,41,70,6.04
27,Khatanga,RU,2021-03-28 13:36:29,71.9667,102.5,0.21,97,98,7.29
28,Chokurdakh,RU,2021-03-28 13:36:29,70.6333,147.9167,-15.47,100,90,3.6
29,Kavieng,PG,2021-03-28 13:36:30,-2.5744,150.7967,83.43,76,85,15.9
30,Bakchar,RU,2021-03-28 13:36:30,57.0186,82.0711,29.12,98,100,1.95
31,Souillac,MU,2021-03-28 13:36:30,-20.5167,57.5167,84.2,74,40,3.44
32,Hermanus,ZA,2021-03-28 13:36:30,-34.4187,19.2345,75.0,57,100,8.01
33,Jamestown,US,2021-03-28 13:33:49,42.097,-79.2353,55.0,93,90,15.17
34,Salalah,OM,2021-03-28 13:34:12,17.0151,54.0924,87.8,48,0,6.91
35,Cayenne,GF,2021-03-28 13:36:31,4.9333,-52.3333,78.8,94,90,8.05
36,Garissa,KE,2021-03-28 13:36:31,-0.4536,39.6401,97.38,25,100,6.22
37,Husavik,IS,2021-03-28 13:36:31,66.0449,-17.3389,26.6,93,90,11.5
38,Lebu,CL,2021-03-28 13:36:31,-37.6167,-73.65,60.06,65,5,15.46
39,Bluff,NZ,2021-03-28 13:36:32,-46.6,168.3333,55.0,97,100,6.15
40,Araouane,ML,2021-03-28 13:36:32,18.9048,-3.5265,94.21,4,0,12.35
41,Hinton,CA,2021-03-28 13:36:32,53.4001,-117.5857,39.2,65,100,2.3
42,Butaritari,KI,2021-03-28 13:36:32,3.0707,172.7902,80.92,79,18,12.08
43,Busselton,AU,2021-03-28 13:36:33,-33.65,115.3333,61.0,79,0,8.46
44,Amos,CA,2021-03-28 13:36:33,48.5669,-78.1162,32.0,93,90,10.36
45,East London,ZA,2021-03-28 13:34:12,-33.0153,27.9116,66.2,68,75,8.05
46,Bandarbeyla,SO,2021-03-28 13:36:33,9.4942,50.8122,81.64,63,86,10.07
47,Nome,US,2021-03-28 13:32:23,64.5011,-165.4064,8.6,78,90,21.85
48,Whitehorse,CA,2021-03-28 13:36:34,60.7161,-135.0538,15.8,48,75,14.97
49,Puerto Palomas,MX,2021-03-28 13:36:34,31.7667,-107.6167,39.2,48,1,9.22
50,Mataura,NZ,2021-03-28 13:36:34,-46.1927,168.8643,55.0,97,100,2.91
51,Inhambane,MZ,2021-03-28 13:36:34,-23.865,35.3833,84.2,51,40,13.8
52,Tuktoyaktuk,CA,2021-03-28 13:36:35,69.4541,-133.0374,-22.0,76,20,12.66
53,Cabra,ES,2021-03-28 13:36:35,37.4725,-4.4421,75.99,39,43,3.0
